"DateTime","valvePos","Campbell","Aerodyne","LosGatos","AeroExcess_Avg"
2016-03-22 20:10:44,4,"Chm2","Chm3","Chm4",-116.3
2016-03-22 20:12:45,4,"Chm8","Chm8","Chm4",-140.3
2016-03-22 20:14:46,4,"Chm2","Chm3","Chm4",-116.8
2016-03-22 20:16:47,4,"Chm8","Chm8","Chm4",-139.9
2016-03-22 20:18:48,4,"Chm2","Chm3","Chm4",-115.6
2016-03-22 20:20:49,4,"Chm8","ABGD","Chm5",104.6
2016-03-22 20:22:50,4,"Chm8","Chm8","Chm5",-144.8
2016-03-22 20:25:01,4,"Chm3","Chm4","Chm5",-116.6
2016-03-22 20:27:02,4,"Chm8","Chm8","Chm5",-144.1
2016-03-22 20:29:03,4,"Chm3","Chm4","Chm5",-141
2016-03-22 20:31:04,4,"Chm8","Chm8","Chm5",-147.2
2016-03-22 20:33:05,4,"Chm3","Chm4","Chm5",-137.9
2016-03-22 20:35:06,4,"Chm8","CAL1","Chm6",40.23
2016-03-22 20:37:07,4,"Chm8","CAL0","Chm6",-206.7
2016-03-22 20:37:10,4,"Chm8","ABGD","Chm6",231.4
2016-03-22 20:39:11,4,"Chm8","Chm8","Chm6",-143.6
2016-03-22 20:41:22,4,"Chm4","Chm5","Chm6",-117.8
2016-03-22 20:43:23,4,"Chm8","Chm8","Chm6",-131.4
2016-03-22 20:45:24,4,"Chm4","Chm5","Chm6",-116.6
2016-03-22 20:47:25,4,"Chm8","Chm8","Chm6",-179.3
2016-03-22 20:49:26,4,"Chm4","Chm5","Chm6",-158.5
2016-03-22 20:51:27,4,"Chm8","ABGD","Chm7",121
2016-03-22 20:53:28,4,"Chm8","Chm8","Chm7",-144.6
2016-03-22 20:55:39,4,"Chm5","Chm6","Chm7",-115.8
2016-03-22 20:57:40,4,"Chm8","Chm8","Chm7",-134.1
2016-03-22 20:59:41,4,"Chm5","Chm6","Chm7",-161.6
2016-03-22 21:01:42,4,"Chm8","Chm8","Chm7",-152.8
2016-03-22 21:03:43,4,"Chm5","Chm6","Chm7",-116.6
2016-03-22 21:05:44,4,"Chm8","ABGD","Chm1",110.9
2016-03-22 21:07:45,4,"Chm8","Chm8","Chm1",-143.9
2016-03-22 21:09:56,4,"Chm6","Chm7","Chm1",-121.9
2016-03-22 21:11:57,4,"Chm8","Chm8","Chm1",-147.5
2016-03-22 21:13:58,4,"Chm6","Chm7","Chm1",-156.7
